区域,代码
江西省-赣州市,360700
山东省-泰安市,370900
安徽省-宿州市,341300
广东省-广州市,440100
上海-上海市,310000
河南省-周口市,411600
河北省-保定市,130600
山东省-潍坊市,370700
河南省-商丘市,411400
安徽省-阜阳市,341200
山东省-菏泽市,371700
重庆-重庆市,500000
山东省-临沂市,371300
山东省-济宁市,370800
辽宁省-大连市,210200
山东省-青岛市,370200
贵州省-遵义市,520300
河北省-廊坊市,131000
广东省-汕头市,440500
河南省-洛阳市,410300
河南省-平顶山市,410400
天津-天津市,120000
河北省-沧州市,130900
山东省-聊城市,371500
广东省-佛山市,440600
广东省-揭阳市,445200
广东省-深圳市,440300
湖北省-武汉市,420100
浙江省-金华市,330700
浙江省-台州市,331000
湖南省-株洲市,430200
福建省-漳州市,350600
山东省-烟台市,370600
河南省-驻马店市,411700
湖北省-恩施,422800
广东省-湛江市,440800
吉林省-长春市,220100
河北省-唐山市,130200
江西省-吉安市,360800
湖南省-永州市,431100
江苏省-连云港市,320700
江苏省-无锡市,320200
江西省-抚州市,361000
四川省-成都市,510100
辽宁省-盘锦市,211100
江苏省-徐州市,320300
海南省-海口市,460100
辽宁省-朝阳市,211300
河北省-邯郸市,130400
黑龙江省-哈尔滨市,230100
山东省-滨州市,371600
江苏省-苏州市,320500
辽宁省-沈阳市,210100
福建省-龙岩市,350800
浙江省-温州市,330300
河北省-石家庄市,130100
河南省-许昌市,411000
江西省-九江市,360400
湖南省-衡阳市,430400
贵州省-毕节,520500
黑龙江省-佳木斯市,230800
辽宁省-锦州市,210700
安徽省-蚌埠市,340300
浙江省-杭州市,330100
湖北省-荆州市,421000
广东省-梅州市,441400
辽宁省-鞍山市,210300
湖南省-邵阳市,430500
福建省-福州市,350100
山东省-德州市,371400
黑龙江省-大庆市,230600
福建省-三明市,350400
山西省-运城市,140800
陕西省-安康市,610900
浙江省-绍兴市,330600
安徽省-黄山市,341000
河南省-安阳市,410500
河北省-秦皇岛市,130300
浙江省-丽水市,331100
江苏省-常州市,320400
广东省-东莞市,441900
辽宁省-辽阳市,211000
广东省-中山市,442000
河北省-邢台市,130500
安徽省-亳州市,341600
安徽省-淮北市,340600
陕西省-西安市,610100
河南省-南阳市,411300
湖南省-长沙市,430100
河北省-承德市,130800
江西省-宜春市,360900
广东省-汕尾市,441500
四川省-达州市,511700
广东省-江门市,440700
福建省-厦门市,350200
广东省-惠州市,441300
河北省-衡水市,131100
吉林省-四平市,220300
湖北省-襄阳,420600
陕西省-汉中市,610700
江苏省-盐城市,320900
辽宁省-抚顺市,210400
安徽省-六安市,341500
山东省-济南市,370100
湖南省-岳阳市,430600
山东省-东营市,370500
北京-北京市,110000
山东省-威海市,371000
湖南省-怀化市,431200
辽宁省-葫芦岛市,211400
广东省-韶关市,440200
江西省-新余市,360500
贵州省-贵阳市,520100
安徽省-滁州市,341100
湖北省-黄冈市,421100
黑龙江省-绥化市,231200
浙江省-宁波市,330200
河南省-郑州市,410100
黑龙江省-牡丹江市,231000
辽宁省-阜新市,210900
浙江省-嘉兴市,330400
内蒙古-通辽市,150500
江苏省-淮安市,320800
福建省-南平市,350700
辽宁省-铁岭市,211200
江苏省-宿迁市,321300
江苏省-镇江市,321100
贵州省-安顺市,520400
新疆-乌鲁木齐市,650100
广东省-潮州市,445100
湖北省-宜昌市,420500
吉林省-吉林市,220200
山东省-淄博市,370300
吉林省-白城市,220800
四川省-泸州市,510500
福建省-泉州市,350500
内蒙古-呼伦贝尔市,150700
河南省-新乡市,410700
山西省-临汾市,141000
河南省-濮阳市,410900
安徽省-淮南市,340400
广东省-河源市,441600
广东省-珠海市,440400
辽宁省-本溪市,210500
四川省-广安市,511600
内蒙古-赤峰市,150400
浙江省-衢州市,330800
内蒙古-呼和浩特市,150100
河南省-漯河市,411100
甘肃省-兰州市,620100
吉林省-通化市,220500
黑龙江省-齐齐哈尔市,230200
河南省-信阳市,411500
江苏省-南京市,320100
河北省-张家口市,130700
浙江省-湖州市,330500
安徽省-安庆市,340800
陕西省-榆林市,610800
云南省-红河,532500
贵州省-铜仁,520600
湖北省-孝感市,420900
吉林省-延边,222400
安徽省-合肥市,340100
四川省-自贡市,510300
辽宁省-营口市,210800
海南省-儋州,460400
四川省-雅安市,511800
安徽省-宣城市,341800
江苏省-南通市,320600
辽宁省-丹东市,210600
湖南省-郴州市,431000
河南省-焦作市,410800
浙江省-舟山市,330900
江苏省-泰州市,321200
吉林省-松原市,220700
四川省-宜宾市,511500
贵州省-黔东南,522600
湖南省-常德市,430700
广东省-肇庆市,441200
黑龙江省-鸡西市,230300
青海省-西宁市,630100
黑龙江省-黑河市,231100
安徽省-马鞍山市,340500
黑龙江省-双鸭山市,230500
陕西省-渭南市,610500
四川省-德阳市,510600
山西省-太原市,140100
四川省-南充市,511300
山西省-晋中市,140700
陕西省-宝鸡市,610300
内蒙古-包头市,150200
广西-南宁市,450100
广东省-茂名市,440900
福建省-宁德市,350900
湖北省-黄石市,420200
湖南省-益阳市,430900
湖南省-娄底市,431300
江西省-南昌市,360100
四川省-眉山市,511400
山东省-枣庄市,370400
吉林省-辽源市,220400
贵州省-黔南,522700
四川省-广元市,510800
海南省-三亚市,460200
安徽省-芜湖市,340200
内蒙古-鄂尔多斯市,150600
湖北省-咸宁市,421200
贵州省-黔西南,522300
新疆-昌吉,652300
山西省-忻州市,140900
湖北省-十堰市,420300
山东省-日照市,371100
广西-柳州市,450200
湖南省-张家界市,430800
内蒙古-兴安盟,152200
江苏省-扬州市,321000
江西省-萍乡市,360300
内蒙古-巴彦淖尔市,150800
黑龙江省-七台河市,230900
河南省-开封市,410200
湖北省-鄂州市,420700
陕西省-咸阳市,610400
吉林省-白山市,220600
贵州省-六盘水市,520200
新疆-伊犁,654000
甘肃省-武威市,620600
广东省-阳江市,441700
甘肃省-张掖市,620700
甘肃省-天水市,620500
四川省-凉山,513400
江西省-鹰潭市,360600
四川省-遂宁市,510900
云南省-昭通市,530600
云南省-昆明市,530100
甘肃省-白银市,620400
黑龙江省-鹤岗市,230400
湖南省-湘潭市,430300
广西-玉林市,450900
云南省-曲靖市,530300
广东省-云浮市,445300
山西省-吕梁市,141100
湖北省-随州市,421300
黑龙江省-伊春市,230700
山西省-大同市,140200
江西省-上饶市,361100
云南省-普洱市,530800
福建省-莆田市,350300
广东省-清远市,441800
山西省-朔州市,140600
河南省-三门峡市,411200
云南省-文山,532600
河南省-鹤壁市,410600
新疆-巴音郭楞,652800
江西省-景德镇市,360200
云南省-大理,532900
甘肃省-定西市,621100
四川省-巴中市,511900
新疆-塔城,654200
黑龙江省-大兴安岭,232700
四川省-绵阳市,510700
山西省-晋城市,140500
山东省-莱芜市,371200
山西省-长治市,140400
甘肃省-临夏,622900
湖北省-荆门市,420800
四川省-内江市,511000
新疆-阿克苏,652900
陕西省-延安市,610600
